bar_id,artist,bar,song,album,spotify,tag
1001,Despot,All I got is time and I heard that this shit's money,Versailles,Aethiopes,https://open.spotify.com/track/5XeSZTj2XOqFHcr78W9guM,
1002,Billy Woods,Life is just two quarters in the machine,A Day In A Week In A Year,Hiding Places,https://open.spotify.com/track/6BCHHTTLKvHkCANNBnsgNH,
1003,Alpha Tha Alien,Look in the mirror cause that should be who your hero is,Intellectual Property,Intellectual Property,https://open.spotify.com/track/5dkXZmTxezbXQLjIIOgfwo,
1004,Open Mike Eagle,I'm livin at the cross of awesome and super good,Intellectual Property,Intellectual Property,https://open.spotify.com/track/5dkXZmTxezbXQLjIIOgfwo,
1005,Quelle Chris,"If everything happens for a reason, I ain't really got shit else to do but be greatful",Alive ain't always living,Deathframe,https://open.spotify.com/track/3Grsh3t0WA22tDgrjzVYAK,
1006,Ka,"What I pieced together and made from it, built me strong enough to reach the most raised summit",Sad to say,A Martyr's Reward,https://open.spotify.com/track/3BzM1kBWdMiKRKLNPHoo7j,
1007,Chimezie,Growing pains are always far from over,Growing Pains,Growing Pains,https://open.spotify.com/track/0ZNLn0U7tPWMXPM83jAlOo,
1008,Homeboy Sandman,I'm bound to fall but I'm bound to rise,Go Hard,Anjelitu,https://open.spotify.com/track/3bmlL57J1DsXu3WawFVW1w,
1009,Jay Cinema,You've got to realize all the real lies,Realize,"Peace of Mind, Mind of Peace",https://open.spotify.com/track/4zcwYGDkPiYUWQ4MLSbJtJ,
1010,Elijah Quinton,Sometimes it's best to sever than to suffer,Just Breathe,Griot,https://open.spotify.com/track/6xQgkotl2wBEMK0JVphZZk,
1011,Mavi,"If you plant love love will grow, if you plant fear fear will grow",Self Love,Let the Sun Talk,https://open.spotify.com/track/5lZ6f9AO0OrwsdFyQAfKqV,
1012,Maxo,Better stay you and smile everyday,Time,Lil Big Man,https://open.spotify.com/track/1jPTKmJDrN9X9TqxvH5jC9,
1013,Pink Naval,"Perfectionism may look good in shiny shoes, but he's a little bit of an asshole, and no one invites him to their pool parties",An Invocation for Beginings,Epic,https://open.spotify.com/track/05LtICperF1XtN4B6UwYfg,
1014,OutKast,"You need to git up git out and git something, don't let the days of your life pass by","Git Up, Git Out",Southernplayalisticadillacmuzik,https://open.spotify.com/track/6XadDzmDVhtEQ1Itt5t8h8,
1015,Nef The Pharoh,"Don't ever let the world get you fed up, you gotta do your thing keep your head up",Do Ya Thang,Fresh Outta Space 3,https://open.spotify.com/track/23bxcRDuLKK92q9FZwpVAX,
1016,Pink Slifu,Imma keep my soul when the devil's showing faces,Stay Sane,Ensley,https://open.spotify.com/track/3fsPD07oy4Desemhtc0N9T,
1017,Mike,"Gotta keep barkin', gotta tee off",Allstar,Weight of the World,https://open.spotify.com/track/4YIY15KIEyzggh01pEMbe8,
1018,The God Fahim,"Ain't no limitations, It's far beyond the skies, we always meant to fly",The Shape of Slaughter,Wide Berth,https://open.spotify.com/track/5bQnKa2pIGOa4QDedI5QOv,
1019,Kenny Mason,"Dark days turn bright, part ways from dark ways and found ways to gain sight",Firestarter,Angelic Hoodrat,https://open.spotify.com/track/02sJ6RLnu3g57TUeIj3kkp,
1020,Hieroglyphics,"Life is a blast when you know what you're doin', best to know what you're doin' 'fore your life get ruined",At the Helm,3rd Eye Vision,https://open.spotify.com/track/66Exwk617LAM1nk3fJflZq,
1021,2Pac,You gotta be able to smile through all this bullshit,Smile,The Untouchable,https://open.spotify.com/track/6wvfISRCQBOEpIvhX6UsDj,
1022,Wale,Life without dreaming is a life without meaning,Aston Martin Music,Freestyle,,
1023,Wale,To dream is to live life’s full potential,Aston Martin Music,Freestyle,,
1024,Mac Miller,"They’re gonna try to tell you no, shatter all your dreams. But you gotta get up and go and think of better things",Live Free,On And On And Beyond,https://open.spotify.com/track/4ZQyCb1wKXCpTxSGDuWKga,
1025,Nas,"If you’re scared to take chances, you’ll never have the answers",Trust,Life Is Good,,
1026,Nas,"Everything will eventually come to an end. So try to savor the moments, cuz time flies, don’t it? The beauty of life is to make it last for the better. Cuz nothing lasts forever.",Nothing Lasts Forever,The Lost Tapes,https://open.spotify.com/track/0V8sM8kWnDs7DwV90UWI3g,
1027,Nas,"Trust your own judgement, live with it and love it",Trust,Life Is Good,,
1028,Lil Wayne,"Never apologize for what you feel, it’s like apologizing for being real",,,,
1029,Joey Bada$$,Can't change the world unless we change ourselves,Land of the Free,ll-Amerikkkan Badass,https://open.spotify.com/track/7BjygzvUpf8P7X6uWzIhsF,
1030,T.I.,"Never mind what hater’s say, ignore ’em till they fade away",Live Your Life,Paper Trail,https://open.spotify.com/track/3jlbL2OTD5YmIunYzgQTAN,
1031,Jay Z,"Remind yourself, nobody built like you, you designed yourself",A Dream,The Blueprint 2 The Gift & The Curse,https://open.spotify.com/track/2bQ2a7b8WuWRY3mkqk1MB8,
1032,50 Cent,"Sunny days wouldn’t be so special, if it wasn’t for rain. Joy wouldn’t feel so good, if it wasn’t for pain",Many Men,Get Rich Or Dit Tryin',https://open.spotify.com/track/2I9foKseoFQh07p6sD2voE,
1033,2Pac,"No matter how hard it gets, stick your chest out, keep your head up and handle it",Me Against The World,Me Against The World,https://open.spotify.com/track/76wJIkA63AgwA92hUhpE2V,
1034,Common,Every day women and men become legends,Glory,Glory,https://open.spotify.com/track/2fmqPLRFdJNPhLU3b2NSFp,
1035,Childish Gambino,"Being happy is the goal, but greatness is my mission",I'm Alright,Culdesac,,
1036,Kanye West,Reach for the stars so if you fall you land on the clouds,Homecoming,Graduation,https://open.spotify.com/track/4iz9lGMjU1lXS51oPmUmTe,
1037,2Pac,"Don't ever change, keep your essence, the power is in the people and the politics we address",Me Against The World,Me Against The World,https://open.spotify.com/track/76wJIkA63AgwA92hUhpE2V,
1038,Aaliyah,"If at first you don't succeed, then dust yourself off and try again",Try Again,Aaliyah,https://open.spotify.com/track/6Wnlq1Pu3I0BajLvxn05Vr,
1039,Notorious B.I.G.,"Sky is the limit and know that you can have what you want, be what you want",Sky Is The Limit,Life After Death,https://open.spotify.com/track/6Wnlq1Pu3I0BajLvxn05Vr,
1040,Dead Prez,"My word of advice to you is just relax, just do what you got to do",Hip Hop,Let's Get Free,https://open.spotify.com/track/2HoDr1yVksl19omOhc1zWy,
1041,Lauryn Hill,"Everything is everything, what is meant to be will be",Everything Is Everything,The Miseducation of Lauryn Hill,https://open.spotify.com/track/7t86fVeDAd63ThaR0ZkxXS,
1042,Common,"Never looking back or too far in front of me, the present is a gift and I just wanna be",Be,Be,https://open.spotify.com/track/11aFVmFy8903RwDx4ohQiq,
1043,2Pac,"Don't cry, dry your eyes, never let up. Forgive but don't forget...keep your head up",Keep Ya Head Up,Strictly 4 My N.I.G.G.A.Z...,https://open.spotify.com/track/0XRbYXQUymj9SJkrr8YK5B,
1044,Wale,"If I woke up tomorrow and I didn't have a dollar, as long as I have my heart I can get it all over",Self made,Self Made,https://open.spotify.com/track/5jdbzoEiMhkhsLDchETOG3,
1045,Immortal Technique,"The purpose of life is a life with a purpose. So I’d rather die for a cause, than live a life that is worthless.",The Martyr,The Martyr,,
1046,Cee-Lo,"You’ve got to realize that the world’s a test, you can only do your best",In Due TIme,In Due TIme,https://open.spotify.com/track/0F7IWMsRmk9P9ML4prVlr0,
1047,Jedi Mind Tricks,"Without order, nothing exists. Without chaos, nothing evolves",Heavy Metal Kings,"Servants In Heaven, Kings In Hell",https://open.spotify.com/track/6E5JDnaSWqj7G0eVUiUjjh,
1048,Rick Ross,Regardless of how it goes down life goes on,Rich Forever,"God Forgives, I Don't",https://open.spotify.com/track/10WlUIcmFYfvzQSyWfCDEa,
1049,"Tyler, the Creator","I did my own shit and now I'm up, and now all that paid off",Runitup,Call Me If You Get Lost,https://open.spotify.com/track/13HsOwrwTA5HgLuoaDHncP,
1050,"Tyler, the Creator","If I want it, I go get it, I'm always on go mode, I just go, I don't know what fear is",Runitup,Call Me If You Get Lost,https://open.spotify.com/track/13HsOwrwTA5HgLuoaDHncP,
1051,Big K.R.I.T.,The only difference between a winner and a loser is a winner plays until he wins,Boobie Miles,4eva Na Day,https://open.spotify.com/track/54Mpq5YONGsmYfr0zijd4f,
1052,Big K.R.I.T.,"Don't be eager to run with crowds, stay in your lane, Pass the knowledge on to your team, but carry the flame, Cause it's yours and yours alone to brighten your way",Boobie Miles,4eva Na Day,https://open.spotify.com/track/54Mpq5YONGsmYfr0zijd4f,
1053,Big K.R.I.T.,Ain't nothing for free so get your ass up,Boobie Miles,4eva Na Day,https://open.spotify.com/track/54Mpq5YONGsmYfr0zijd4f,
1054,"Tyler, the Creator","When you in your room, then you starin' at the ceilin', Dreamin', I want you to know it's no ceilings, I want you to notice that feelin', I want you to leave and go for it, I want you to reach with no fearin'",Runitup,Call Me If You Get Lost,https://open.spotify.com/track/13HsOwrwTA5HgLuoaDHncP,
1055,Pink Naval,Let me realize that my past failures at follow-through are no indication of my future performance. They're just healthy little fires that are gonna' warm up my ass,An Invocation for Beginings,Epic,https://open.spotify.com/track/05LtICperF1XtN4B6UwYfg,
1056,Pink Naval,"Let me not hit up my Facebook like it's a crack-pipe, keep the browser closed",An Invocation for Beginings,Epic,https://open.spotify.com/track/05LtICperF1XtN4B6UwYfg,
1057,Pink Naval,"Let me think about the people that I care about the most. And how when they fail or disappoint me I still love them, I still give them chances, and I still see the best in them - let me extend that generosity to myself",An Invocation for Beginings,Epic,https://open.spotify.com/track/05LtICperF1XtN4B6UwYfg,
1058,Homeboy Sandman,"Lead, Don't watch TV read, You've got everything you need, Don't be greedy",An Invocation for Beginings,Epic,https://open.spotify.com/track/05LtICperF1XtN4B6UwYfg,
1059,Milo,Every mistake I've ever made has had a certain inexplicable beauty you overachievers could never replace,Just Us,Toothpaste Suburb,https://open.spotify.com/track/4RyStTHxFBSwcBZO3b8sti,
1060,Lojii,"You just gotta do you, like there ain't nothin left to do, just do you do you",Do U,DUE RENT,https://open.spotify.com/track/5q0j833Z1jYzpQ6nZHaIIh,
1061,Chester Watson,"People rarely value time before they've lost it, So I'm hella' careful of where I vibe and where I'm caught",Time Moves Slow Around Here,Time Moves Slow Around Here,https://open.spotify.com/track/4RIvdBLfwrZ5Vsang0WxKc,
1062,Massi Bey,"I'm just flowing with the waves to stay afloat, paddling on a board while praying for a boat",Body of Work,History Will Absolve Me,https://open.spotify.com/track/223G20U65sj6Y9dXR52TAd,
1062,Roc Marciano,"Eating right, these the finer things in life, see your ring in the light, everything that bling ain't ice",Body of Work,History Will Absolve Me,https://open.spotify.com/track/223G20U65sj6Y9dXR52TAd,
1063,Billy Woods,"Work my land, slash and burn, elephant hands, every callus earned",Body of Work,History Will Absolve Me,https://open.spotify.com/track/223G20U65sj6Y9dXR52TAd,
1064,Mach-Hommy,Shit hard when the rays don’t shine,The Stellar Ray Theory,Pray For Haiti,https://open.spotify.com/track/51Rs7xpi3HxrqvN1bI0i5w,
1065,MF Doom,Got more soul than a sock with a hole,Rhinestone Cowboy,Madvillainy,https://open.spotify.com/track/1IM5em8ceA9Ukorn9xf19w,
1066,Koreatown Oddity,"Finna do all the things they keep sayin' you can't, then do it times two just to remind fools that the first time wasn't a lucky mistake",The World's Smallest Violin,Little Dominiques Nosebleed,https://open.spotify.com/track/5jpyVxfUJfGQ0XMm2ea69J,
1067,Koreatown Oddity,"No matter how tough right now things seem to be, when you wait patiently your time will come you'll see so keep your head high up",The World's Smallest Violin,Little Dominiques Nosebleed,https://open.spotify.com/track/5jpyVxfUJfGQ0XMm2ea69J,
1068,Cordae,What is life without love? What's life without dreams? What's life without goals? Everything ain't what it seems,What's Life,What's Life,https://open.spotify.com/track/2VfMFlfRbk2BAQ9sBZALg3,
1069,Common,What's life without love? What's life without haters? We all gotta eat so to them I don't cater,What's Life,What's Life,https://open.spotify.com/track/2VfMFlfRbk2BAQ9sBZALg3,
1070,Dave,Would you rather be the person talking or the person doing all the things that people talk about,Hangman,Hangman,https://open.spotify.com/track/7r7NTwtWAhPRtzylDu3hnE,
1071,Quelle Chris,"Some said it's pre-programmed, some state it's up to Allah, you ask me, it's all part the mirage, ah-ha-ha!",Mirage,Innocent Country,https://open.spotify.com/track/44uBwRUPAQmgWSUDZQq3Da,
1072,Denmark Vessey,"Fly, birdie, fly, be as wise as the owl, keep the eye of the falcon, that's eyein' the sparrow",Mirage,Innocent Country,https://open.spotify.com/track/44uBwRUPAQmgWSUDZQq3Da,
1073,Denmark Vessey,"The last laugh is a nectar, but the sweetest get-back is being completely free (Facts), completely me",Mirage,Innocent Country,https://open.spotify.com/track/44uBwRUPAQmgWSUDZQq3Da,
1074,Big Sen,Make your actions match your ambitions to survive,Mirage,Innocent Country,https://open.spotify.com/track/44uBwRUPAQmgWSUDZQq3Da,
1075,Big Sen,What’s gon’ come to pass is what’s gon’ come to pass,Mirage,Innocent Country,https://open.spotify.com/track/44uBwRUPAQmgWSUDZQq3Da,
1076,Big Sen,"Security is largely a superstition. It does not exist in nature. Life is either a grand adventure or nothing, baby. Go have your adventure, 'cause I’m having mine",Mirage,Innocent Country,https://open.spotify.com/track/44uBwRUPAQmgWSUDZQq3Da,
1077,Elucid,"Out of body movin' out of order, not out of line, altering time, not integrity, new living memory, no other space but now, wow",Burner Account,Burner Account,https://open.spotify.com/track/6zuKHQGa4GE9NgnsYu3fRX,
1078,Earl Sweatshirt,"The madness method rampant these days, I let the panic pass me",Tabula Rasa,Tabula Rasa,https://open.spotify.com/track/3xSEiVqKlhhoblSxbfCtUR,
1079,Billy Woods,"Money comes and goes, broke today, but tomorrow who knows?",The Wake,History Will Absolve Me,https://open.spotify.com/track/5oVNHjwEpDeqGPvLPfyakO,
1080,Kendrick Lamar,"Time'll never wait on no man, society will never hold your hand",Blow My High,Section.80,https://open.spotify.com/track/6jl01C724Mk68qlOQLco5I,
1081,Kendrick Lamar,"Dreams of reality's peace, blow steam in the face of the beast, the sky could fall down, the wind could cry now, the strong in me, I still smile",I,I,https://open.spotify.com/track/69x16JmnJxuLVP9ELBoY03,
1082,The God Fahim,"Sometimes in life you got to choose, if you really want to follow rules, but which rules you gon' choose?",Flyin Out The Cave Wit Bats,Iron Monkey,https://open.spotify.com/track/0FMoUlxB9BcF16mtByvk9f,
1083,Dove,"Seeing is believing, so see and believe and let the groove of the new proceed",Doin' Our Own Thing,Done By Forces of Nature,https://open.spotify.com/track/4fuLWKNpY01OLMT9tARnB4,
1084,Sole,Everything's a phase and I've come such a long way,"June 26th, 1998",Deep Puddle Dynamics,https://open.spotify.com/track/5v6UYU8E2TlqHptJPYJtXv,
1085,Alias,As a child I was afraid of the storm but now I welcome the rain,"June 26th, 1999",,https://open.spotify.com/track/6L9uH9QtBrL6rRJZvNzimP,
1086,Sole,"Nothing lasts, beauty is what you make it, until the waves of wind and people ruin what I've worked so very hard to preserve","June 26th, 1999",,https://open.spotify.com/track/6L9uH9QtBrL6rRJZvNzimP,
1087,Sole,"Stop trying to prove, stop trying to be, stop trying to do, just be proof, do, and exist",The Scarecrow Speaks,Deep Puddle Dynamics,https://open.spotify.com/track/6EydZLIHUblBsxQZZvvVDO,
1088,Sole,Treat all others how you expect in return,The Scarecrow Speaks,,https://open.spotify.com/track/6EydZLIHUblBsxQZZvvVDO,
1089,Sole,"Don't do it for the wealth, do it all for the love, love everything you do, and do nothing halfheartedly",The Scarecrow Speaks,,https://open.spotify.com/track/6EydZLIHUblBsxQZZvvVDO,
1090,Sole,Be what you speak...never speak on what you be,The Scarecrow Speaks,,https://open.spotify.com/track/6EydZLIHUblBsxQZZvvVDO,
1091,Doseone,"Go, let the wandering take it all in, generate, make you yours, my masters, my pupils, my equals, drop, decorate, I implore you, just think",The Scarecrow Speaks,,https://open.spotify.com/track/6EydZLIHUblBsxQZZvvVDO,
1092,Alias,"Although I see many problems in my fellow man, hatred of others is absolutely not my master plan",The Scarecrow Speaks,,https://open.spotify.com/track/6EydZLIHUblBsxQZZvvVDO,
1093,Slug,"With a raised fist, symbolization of the urgency, strength blowing kisses and winks toward adversity, subtle yet as vital as the ink on your currency",Deep Puddle Theme Song,,https://open.spotify.com/track/5CHp3dbhzSRA8ZRzkUtavY,
1094,R.A.P. Ferreria,An idea is a work of art,Cycles,Purple Moonlight Pages,https://open.spotify.com/track/6Dyp8OlPgvIGUnZskJrrwV,
1095,Saul Williams,"Motherfuckers better realize, now is the time to self-actualize",Coded Language,Amethyst Rock Star,https://open.spotify.com/track/4C2IvQJqAOclUDsA0Jsqxe,
1096,Saul Williams,"We are determining the future at this very moment, we now know that the heart is the philosophers' stone",Coded Language,Amethyst Rock Star,https://open.spotify.com/track/4C2IvQJqAOclUDsA0Jsqxe,
1097,Saul Williams,Find your mantra and awaken your subconscious,Coded Language,Amethyst Rock Star,https://open.spotify.com/track/4C2IvQJqAOclUDsA0Jsqxe,
1098,Eminem,Life is like a big obstacle in front of your optical,If I had,The Slim Shady LP,https://open.spotify.com/track/6TCfbxgcjQwxCzM4Vmi6kf,
1099,Kota the Friend,"And through all this life, the trials and tribulations, it is imperative, that you know you are where you're supposed to be",Good Friday,Good Friday,https://open.spotify.com/track/06sZ51gSjEQXBa0UXAp8F5,
1100,Yummy Bingham,"Put your faith into action, heads up and eyes open",Heads Up Eyes Open,Heads Up Eyes Open,https://open.spotify.com/track/1xZhKwDkfQPrJyrYYkoUeT,